fold,repeat,feature,feature_type,delta_auc,delta_accuracy,delta_brier
4,2,Tilt,Kinematic,0.0,-0.08333333333333337,-0.001580251032035157
4,2,PenStatus,Kinematic,0.0,-0.08333333333333337,-0.011603624556316625
4,2,Vx,Kinematic,0.0,0.0,0.015511915218127045
4,2,Vy,Kinematic,0.09090909090909083,0.125,0.09379254141476998
4,2,Ax,Kinematic,0.0,0.0,0.00029915293795531456
4,2,Ay,Kinematic,0.0,0.0,0.009699249613003613
4,2,Jx,Kinematic,0.0,0.0,0.00011620963752271424
4,2,Jy,Kinematic,0.0,0.0,0.00015818511940854374
4,2,Age,Demographic,0.0,0.0,0.00020862142526878458
4,2,Gender,Demographic,0.0,0.0,-0.0003229137377226618
4,3,X,Kinematic,0.0,-0.125,-0.028597477710009218
4,3,Y,Kinematic,0.0,0.0,0.009042487381957232
4,3,Pressure,Kinematic,0.0,-0.04166666666666663,-0.0003813708657862194
4,3,Azimuth,Kinematic,0.0,0.0,-0.003162827017401955
4,3,Tilt,Kinematic,0.0,-0.04166666666666663,0.00218873455986842
4,3,PenStatus,Kinematic,0.0,-0.08333333333333337,-0.012192095514125006
4,3,Vx,Kinematic,0.0,0.0,0.0032740725190405842
4,3,Vy,Kinematic,0.04895104895104896,0.125,0.09711703310487371
4,3,Ax,Kinematic,0.0,0.0,0.00017695947122717964
4,3,Ay,Kinematic,0.0,0.0,0.009658545319268574
4,3,Jx,Kinematic,0.0,0.0,0.001192010082378979
4,3,Jy,Kinematic,0.0,0.0,0.0007390403402351697
4,3,Age,Demographic,0.0,0.0,7.848947048558902e-05
4,3,Gender,Demographic,0.0,0.0,-4.628004175958461e-05
4,4,X,Kinematic,0.0,-0.04166666666666663,0.008586080676610201
4,4,Y,Kinematic,0.0,0.0,0.021803895407686028
4,4,Pressure,Kinematic,0.0,-0.08333333333333337,-0.005518582125675263
4,4,Azimuth,Kinematic,0.0,0.0,0.0006382619247839519
4,4,Tilt,Kinematic,0.0,-0.04166666666666663,0.0007769279028559395
4,4,PenStatus,Kinematic,0.0,-0.08333333333333337,-0.02011387274637664
4,4,Vx,Kinematic,0.0,0.0,0.005996793957473434
4,4,Vy,Kinematic,0.04195804195804187,0.125,0.06540299223016216
4,4,Ax,Kinematic,0.0,0.0,0.00043526179388852365
4,4,Ay,Kinematic,0.0,0.0,0.00834347945427008
4,4,Jx,Kinematic,0.0,0.0,0.00029834943806304054
4,4,Jy,Kinematic,0.0,0.0,0.008178539284198393
4,4,Age,Demographic,0.0,0.0,0.0003606590521217576
4,4,Gender,Demographic,0.0,0.0,0.00011275326395684265
4,5,X,Kinematic,0.0,-0.08333333333333337,-0.02211682801066933
4,5,Y,Kinematic,0.04195804195804187,0.08333333333333337,0.06748428494557406
4,5,Pressure,Kinematic,0.0,-0.04166666666666663,-0.003046320254019637
4,5,Azimuth,Kinematic,0.0,0.0,-0.000799596848433809
4,5,Tilt,Kinematic,0.0,-0.04166666666666663,-9.085317923750863e-05
4,5,PenStatus,Kinematic,0.0,-0.04166666666666663,-0.005288558653475044
4,5,Vx,Kinematic,0.013986013986013957,0.04166666666666663,0.03871192059884476
4,5,Vy,Kinematic,0.027972027972027913,0.08333333333333337,0.06247444496235739
4,5,Ax,Kinematic,0.0,0.0,0.0005554718031162767
4,5,Ay,Kinematic,0.0,0.0,0.003932034007216617
4,5,Jx,Kinematic,0.0,0.0,0.0003033065385649736
4,5,Jy,Kinematic,0.0,0.0,0.0006487712277832361
4,5,Age,Demographic,0.0,0.0,9.890017043952953e-05
4,5,Gender,Demographic,0.0,0.0,-0.0005985604145287635
4,6,X,Kinematic,0.0,-0.04166666666666663,-0.015298413779278007
4,6,Y,Kinematic,0.020979020979021046,0.0,0.011765288171040666
4,6,Pressure,Kinematic,0.0,-0.04166666666666663,-0.005902109827485014
4,6,Azimuth,Kinematic,0.0,-0.04166666666666663,-0.0044470223830699665
4,6,Tilt,Kinematic,0.0,-0.08333333333333337,-0.011643677334854878
4,6,PenStatus,Kinematic,0.0,-0.08333333333333337,-0.004990573070712857
4,6,Vx,Kinematic,0.0,0.04166666666666663,0.0125171576074644
4,6,Vy,Kinematic,0.04195804195804198,0.04166666666666663,0.05141242374507056
4,6,Ax,Kinematic,0.0,0.0,0.0005738376413185961
4,6,Ay,Kinematic,0.0,0.0,0.009383201463918196
4,6,Jx,Kinematic,0.0,0.0,0.007335868279471802
4,6,Jy,Kinematic,0.0,0.0,0.006136493269980982
4,6,Age,Demographic,0.0,0.0,8.856136724531144e-05
4,6,Gender,Demographic,0.0,0.0,-0.0003361669334116593
4,7,X,Kinematic,0.0,0.0,0.006103124725025499
4,7,Y,Kinematic,0.0,0.04166666666666663,0.04029231907861236
4,7,Pressure,Kinematic,0.006993006993006978,-0.04166666666666663,0.012931475413253679
4,7,Azimuth,Kinematic,0.0,0.0,-0.002301503135684446
4,7,Tilt,Kinematic,0.0,-0.04166666666666663,0.002681520299501694
4,7,PenStatus,Kinematic,0.0,-0.08333333333333337,-0.011271757423490465
4,7,Vx,Kinematic,0.020979020979020935,0.04166666666666663,0.04956394464649094
4,7,Vy,Kinematic,0.034965034965035,0.04166666666666663,0.04609934724609788
4,7,Ax,Kinematic,0.0,0.0,0.002911167476707638
4,7,Ay,Kinematic,0.0,0.0,0.002999822051494773
4,7,Jx,Kinematic,0.0,0.0,0.0024129102583773307
4,7,Jy,Kinematic,0.0,0.0,0.0002387025340947549
4,7,Age,Demographic,0.0,0.0,-8.555690995384196e-05
4,7,Gender,Demographic,0.0,0.0,0.0002067661682250907
4,8,X,Kinematic,0.0,0.0,0.002051136098426075
4,8,Y,Kinematic,0.0,0.0,0.0052484208919351474
4,8,Pressure,Kinematic,0.0,-0.04166666666666663,-0.00546900716863976
4,8,Azimuth,Kinematic,0.0,0.0,-0.00040461641166525397
4,8,Tilt,Kinematic,0.0,-0.04166666666666663,-0.003000586772806492
4,8,PenStatus,Kinematic,0.0,-0.08333333333333337,-0.009104508905852966
4,8,Vx,Kinematic,0.013986013986013957,0.08333333333333337,0.05242197581466816
